   4.6606331e-02   6.1499188e-02
   6.0617154e-02   7.7206981e-02
   3.9678842e-02   5.6618506e-02
   3.0076569e-02   3.9866071e-02
   5.3820076e-02   7.0228355e-02
   3.9664773e-02   6.9205357e-02
   4.7071970e-02   6.1560065e-02
   5.1430736e-02   7.0194805e-02
   5.1451299e-02   6.8667208e-02
   2.7328734e-02   3.9887716e-02
   4.3967532e-02   5.9117695e-02
   5.8161526e-02   7.7959686e-02
   3.7096320e-02   5.3721591e-02
   4.1105790e-02   6.1987284e-02
   5.2718615e-02   8.1637175e-02
   3.9062500e-02   5.6696158e-02
   5.9996212e-02   8.4930195e-02
   4.3511093e-02   5.8055736e-02
